reviewId,matched_app_name,category,app_avg_rating,user_rating,sentiment,likes,installs_cleaned,type,price,content_rating,genres,last_updated
gp:AOqpTOHoXzuLPBiQ5FyLQ1CjfqocoOc3TuvONHoPmtX6INQhjHijDjKkgxn1Oq9XtEWoaiakCanC356EJ8OGqQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHO0IzC5ydJqQNrK2wxNitaVgn0aZNyWH3xaKpSJgXTWOoJYY519bzI_rM8QhVQUX4gHCpW4ogFIf_tpg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHNzKTRHhZl8bdxKuVwgFDx2--VYbB1pHQldExcCpD6iWsClNFNiHnNOq2IMb7ct88LC0f4Tic7_Gf_uQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFkMiZUKODEVuIdoCcYNN_98h1RURoJM8nCaToL1BcSHSS-letn4OBQpUK2KwxTnYoLttbWf53UOsS-ZA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFKasiG5XpzAzzZpPddVXtHp0D7hvhQ3m9HUMSKknWt1E0u4Dp87sdkaVOUjH62MZXrli1tcbexRVo25Q,Gmail,COMMUNICATION,4.3,5,Neutral,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEB7erT3GGPnMsAWQzKhopQm9PQJcHxTwaEVCpS_hQX-N4OFvTIsbXPZ_mx1PweXc8xirFgyZJUMKaTqQ,Gmail,COMMUNICATION,4.3,5,Positive,1.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOF3cNH0tFG-sd0TQHIeRQ6Nl6UmIKpdnW07nzkBWCYKd0fym3Qko_hWGOwpmRNSTkkzg5ca07xuVonSRg,Gmail,COMMUNICATION,4.3,5,Neutral,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHbpz2PqtAfy-DRoPGkaFK1vQwzfV8-3GtMuK9Xc-Uiw9VOl4LPai1mr7laTT1HeqSdmQ2l8e81r2q93Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHhgDoj9iNiMMug5IbDLyT1w4D3pQTF9sL17h4bxWyJ6B8ZfqCsLd_tF6ScIfpQ6NpkRsK0k7dz3B_KYQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOGSBPCioXA0oi8g1cl4DF9V1M8l2hQ_fWsu9H0--F_N1AnL6axC-sWBFM8BJ0I6gn-1cAFKgvyZhT69PQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOHS6azEtylpSbs6fllESKaUmmdGDImTY_XBNmo6BIJjXTcqYw8_Cw-YxKzAmOhm5kFCzd7AGgA4wGy2zg,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOFuhb5X2btH7HqQtQT9jDuvejrhAh1Sb_bKCb3zdyZjr-dE1XcLFxYeBKjw-DlLyCuq1rqKAzNHsvkGpA,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEBpzlNU-uwuUqZ6-ICwXZG0SZCBk2adzn8Owzh6R9yaxcKo3NqRHmaINfpXCcDxLSHGrVTbD_TGz1aFQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOEibFtfHo5LtNk1W7i6ZEaptGf5J9rsWRZjU3dYlSZxjzg11okjPsbm7twGD991sumzaWZeD8hxLLei6Q,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
gp:AOqpTOF6ZW1IfA2OqOkenzPw0pvXNiD0FuAwyddlnar_4z4FA1L3ZwEDVB3moTWAW9f-hWw75mMczRNLA3V7bQ,Gmail,COMMUNICATION,4.3,5,Positive,0.0,1000000000,Free,0.0,Everyone,Communication,2018-08-02
